Time,id,detection_level
1711147093.570886,7,1
1711147093.570886,11,1
1711147093.570886,14,1
1711147093.570886,17,1
1711147093.570886,47,1
1711147093.570886,51,1
1711147093.570886,57,1
1711147093.570886,63,1
1711147093.6208506,7,1
1711147093.6208506,11,1
1711147093.6208506,14,1
1711147093.6208506,17,1
1711147093.6208506,47,1
1711147093.6208506,51,1
1711147093.6208506,57,1
1711147093.6208506,63,1
1711147093.6707523,7,1
1711147093.6707523,11,1
1711147093.6707523,14,1
1711147093.6707523,17,1
1711147093.6707523,38,1
1711147093.6707523,47,1
1711147093.6707523,51,1
1711147093.6707523,57,1
1711147093.6707523,63,1
1711147093.720817,7,1
1711147093.720817,10,1
1711147093.720817,11,1
1711147093.720817,14,1
1711147093.720817,17,1
1711147093.720817,47,1
1711147093.720817,51,1
1711147093.720817,52,1
1711147093.720817,57,1
1711147093.720817,63,1
1711147093.7698908,7,1
1711147093.7698908,10,1
1711147093.7698908,11,1
1711147093.7698908,14,1
1711147093.7698908,17,1
1711147093.7698908,24,1
1711147093.7698908,47,1
1711147093.7698908,51,1
1711147093.7698908,57,1
1711147093.7698908,63,1
1711147093.820866,7,1
1711147093.820866,10,1
1711147093.820866,11,1
1711147093.820866,14,1
1711147093.820866,17,1
1711147093.820866,24,1
1711147093.820866,47,1
1711147093.820866,51,1
1711147093.820866,57,1
1711147093.820866,63,1
1711147093.8700287,7,1
1711147093.8700287,11,1
1711147093.8700287,14,1
1711147093.8700287,17,1
1711147093.8700287,24,1
1711147093.8700287,27,1
1711147093.8700287,47,1
1711147093.8700287,51,1
1711147093.8700287,57,1
1711147093.8700287,63,1
1711147093.9208984,7,1
1711147093.9208984,11,1
1711147093.9208984,14,1
1711147093.9208984,17,1
1711147093.9208984,47,1
1711147093.9208984,51,1
1711147093.9208984,54,1
1711147093.9208984,57,1
1711147093.9208984,63,1
1711147093.9699392,7,1
1711147093.9699392,11,1
1711147093.9699392,14,1
1711147093.9699392,17,1
1711147093.9699392,47,1
1711147093.9699392,51,1
1711147093.9699392,57,1
1711147093.9699392,63,1
1711147094.0208683,7,1
1711147094.0208683,11,1
1711147094.0208683,14,1
1711147094.0208683,17,1
1711147094.0208683,47,1
1711147094.0208683,51,1
1711147094.0208683,57,1
1711147094.0208683,63,1
1711147094.0709238,5,1
1711147094.0709238,7,1
1711147094.0709238,11,1
1711147094.0709238,14,1
1711147094.0709238,17,1
1711147094.0709238,47,1
1711147094.0709238,51,1
1711147094.0709238,57,1
1711147094.0709238,63,1
1711147094.1209185,5,1
1711147094.1209185,7,1
1711147094.1209185,11,1
1711147094.1209185,14,1
1711147094.1209185,17,1
1711147094.1209185,47,1
1711147094.1209185,51,1
1711147094.1209185,57,1
1711147094.1209185,63,1
1711147094.1708746,5,1
1711147094.1708746,7,1
1711147094.1708746,11,1
1711147094.1708746,14,1
1711147094.1708746,17,1
1711147094.1708746,47,1
1711147094.1708746,51,1
1711147094.1708746,57,1
1711147094.1708746,59,1
1711147094.1708746,63,1
1711147094.2208583,1,1
1711147094.2208583,5,1
1711147094.2208583,7,1
1711147094.2208583,11,1
1711147094.2208583,14,1
1711147094.2208583,17,1
1711147094.2208583,47,1
1711147094.2208583,51,1
1711147094.2208583,57,1
